id,phoneNumbers,locations,likes,newProperty
0,352432,C,Qzata,
2,355366,J,wZpEP,
4,355366,J,wZpEP,
6,32465423446,H,eNsaN,
7,3425145,A,fJqwU,0
8,352432,C,Qzata,
10,352432,C,Qzata,
12,34513535,D,QApeX,
14,3425145,A,fJqwU,
16,3425145,A,fJqwU,
18,352432,C,Qzata,
20,3425145,A,fJqwU,
21,34513535,D,QApeX,3
22,3425342,K,wZpEP,
24,352432,C,Qzata,
26,2341564,F,DQhGN,
28,32465423446,H,eNsaN,
30,143153,B,KBtDu,
32,3425342,K,wZpEP,
34,143153,B,KBtDu,
35,3425145,A,fJqwU,0
36,352432,C,Qzata,
38,32465423446,H,eNsaN,
40,3452352352,G,tkcdq,
42,355366,J,wZpEP,
44,3452421,E,mwzFP,
46,143153,B,KBtDu,
48,3422623,I,mbHtn,
49,,,,8
50,355366,J,wZpEP,
52,3425145,A,fJqwU,
54,34513535,D,QApeX,
56,352432,C,Qzata,
58,32465423446,H,eNsaN,
60,3452352352,G,tkcdq,
62,34513535,D,QApeX,
63,32465423446,H,eNsaN,7
64,34513535,D,QApeX,
66,143153,B,KBtDu,
68,2341564,F,DQhGN,
70,3425342,K,wZpEP,
72,355366,J,wZpEP,
74,352432,C,Qzata,
76,3422623,I,mbHtn,
77,3425145,A,fJqwU,0
80,3425145,A,fJqwU,
82,2341564,F,DQhGN,
84,3422623,I,mbHtn,
86,3452421,E,mwzFP,
88,3425342,K,wZpEP,
90,143153,B,KBtDu,
91,3452421,E,mwzFP,4
92,352432,C,Qzata,
94,34513535,D,QApeX,
96,352432,C,Qzata,
98,3422623,I,mbHtn,
100,2341564,F,DQhGN,
102,34513535,D,QApeX,
105,,,,0
106,3422623,I,mbHtn,
108,3422623,I,mbHtn,
110,143153,B,KBtDu,
112,3425145,A,fJqwU,
114,3422623,I,mbHtn,
116,3452352352,G,tkcdq,
118,2341564,F,DQhGN,
119,352432,C,Qzata,2
120,352432,C,Qzata,
122,352432,C,Qzata,
124,3422623,I,mbHtn,
126,3422623,I,mbHtn,
130,3452421,E,mwzFP,
132,34513535,D,QApeX,
133,3425342,K,wZpEP,10
134,3425342,K,wZpEP,
136,34513535,D,QApeX,
138,34513535,D,QApeX,
140,3425145,A,fJqwU,
142,143153,B,KBtDu,
144,355366,J,wZpEP,
146,3452352352,G,tkcdq,
147,3422623,I,mbHtn,8
148,34513535,D,QApeX,
150,3452352352,G,tkcdq,
152,355366,J,wZpEP,
154,352432,C,Qzata,
156,143153,B,KBtDu,
158,3425145,A,fJqwU,
160,3452421,E,mwzFP,
161,143153,B,KBtDu,1
